Pos,Nr,Rider,Nat.,Bike,Total,ARG ,SAR ,SUI ,TRE ,POR ,ESP ,FRA ,LAT ,GER ,INA ,INA  ,CZE ,BEL ,FIN ,SWE ,NED ,TUR ,ITA ,GBR 
50,991,"Scheu, Mark",GER ,HUS,5,- -,- -,- -,- -,- -,- -,"0,5-0",-,-,-,-,-,-,-,-,-,-,-,-
51,62,"Lusbo, Andero",EST ,GAS,5,- -,- -,- -,- -,- -,- -,- -,"0,1-4",-,-,-,-,-,-,-,-,-,-,-
52,761,"Georgiev, J.",BUL ,YAM,5,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,3-2",-,-
53,179,"Poli, Joaquin",ARG ,KAW,5,"0,3-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,692,"Karlsson, D.",SWE ,GAS,4,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,4-0",-,-,-,-
55,426,"Mewse, Conrad",GBR ,HON,4,- -,- -,"0,0-4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,271,"Alberto, Paulo",POR ,YAM,4,- -,- -,- -,- -,"0,2-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,45,"Kohut, Tomas",SVK ,KTM,3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-3",-,-,-,-,-,-,-
58,888,"Baysan, G.",TUR ,GAS,3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-1",-,-
59,34,"De Waal, M.",NED ,GAS,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-2",-,-,-
60,260,"Koch, Nico",GER ,KTM,2,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-0",-,-,-,-,-,-,-,-,-,-
61,771,"Croci, Simone",ITA ,HUS,2,- -,- -,- -,- -,- -,- -,"0,0-2",-,-,-,-,-,-,-,-,-,-,"0,0-0",-
62,380,"Conijn, Marcel",NED ,YAM,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-0",-,-,-
63,181,"Jazdauskas, D.",LTU ,KTM,2,- -,- -,- -,- -,- -,- -,- -,"0,0-2",-,-,-,-,-,-,-,-,-,-,-
64,848,"Nava, Giulio",ITA ,YAM,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-0",-
65,331,"Malaval, A.",FRA ,YAM,2,- -,- -,- -,- -,- -,- -,"0,2-0",-,-,-,-,-,-,-,-,-,-,-,-
66,221,"Joergensen, M.",DEN ,YAM,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-2",-,"0,0-0",-,-,-,-,-
67,2,"Jasikonis, A.",LTU ,GAS,1,- -,- -,- -,"0,1-0",-,-,"0,0-0",-,-,-,-,-,-,-,-,-,-,-,-
68,107,"van Berkel, L.",NED ,HON,1,"0,1-0",-,-,-,-,-,-,-,-,-,-,-,"0,0-0",-,-,-,-,-,-
69,94,"Van der Mierden, S.",NED ,GAS,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,1-0",-,-,-
70,724,"Ubach, Simeo",ESP ,HUS,1,- -,- -,- -,- -,- -,"0,0-1",-,-,-,-,-,-,-,-,-,-,-,-,-
71,98,"Poli, Agustin",ARG ,KAW,1,"0,0-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,143,"De Bortoli, D.",ITA ,HON,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-1",-
